Devices
1000
,,ForcePlate4 - Force,,,ForcePlate4 - Moment,,,ForcePlate4 - CoP,,,ForcePlate2 - Force,,,ForcePlate2 - Moment,,,ForcePlate2 - CoP,,,ForcePlate1 - Force,,,ForcePlate1 - Moment,,,ForcePlate1 - CoP,,,ForcePlate3 - Force,,,ForcePlate3 - Moment,,,ForcePlate3 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-0.00213629,-0.198364,0.0488282,-7.81251,-12.3596,7.37001,300,-200,0,-0.0337219,0.000457775,0.110169,7.69042,-22.6135,-10.2997,-300,200,0,-0.00152588,0.00885012,-0.0717163,3.47901,3.02125,-7.96508,300,200,0,-0.00381472,-0.00396732,-0.0552369,0.976551,-1.19017,3.84523,-300,-200,0
1,1,0.0588989,-0.0152588,0.109863,4.39452,5.95093,7.37001,300,-200,0,0.0273133,-0.0300598,0.0491334,7.69042,-4.30297,-1.1444,-300,200,0,-0.0320435,0.0698853,-0.0106812,3.47901,3.02125,-7.96508,300,200,0,-0.0343323,0.0265503,0.00579825,0.976551,-1.19017,-5.31005,-300,-200,0
2,0,-0.00213628,0.0152588,0.109863,-7.81251,-12.3596,-20.0958,300,-200,0,0.0273133,-0.0605774,0.110169,7.69042,-22.6135,-10.2997,-300,200,0,0.0595093,0.0393677,0.050354,-20.9351,3.02126,1.1902,300,200,0,-0.00381472,-0.00396732,0.00579825,0.976551,-1.19017,3.84523,-300,-200,0
2,1,-0.00213628,0.0152588,-0.012207,16.6016,24.2615,-1.78526,300,-200,0,-0.00320432,-0.0300598,-0.133972,19.8975,-22.6135,-1.1444,-300,200,0,-0.00152588,-0.052185,0.050354,-8.72802,21.3318,1.1902,300,200,0,-0.00381472,-0.00396732,0.00579825,0.976553,-19.5007,3.84523,-300,-200,0
3,0,0.0588989,0.0152588,0.0488282,4.39452,-12.3596,-75.0275,300,-200,0,-0.00320432,0.000457777,-0.0119018,7.69042,14.0076,8.01087,-300,200,0,0.0289917,-0.0216675,0.050354,-8.72802,39.6424,-7.96508,300,200,0,0.0267029,-0.00396732,0.00579825,13.1836,-1.19017,3.84523,-300,-200,0
3,1,0.0283813,-0.0457764,-0.012207,-7.81251,24.2615,7.37001,300,-200,0,-0.0642395,0.000457772,0.0491334,7.69042,-4.30297,8.01087,-300,200,0,-0.00152588,0.0393677,-0.0106812,3.47901,3.02125,19.5007,300,200,0,-0.0343323,-0.00396732,-0.0552369,0.976553,-19.5007,-5.31005,-300,-200,0
4,0,-0.0326539,0.0152588,-0.012207,16.6016,5.95093,-1.78526,300,-200,0,0.0273133,0.000457779,-0.0119018,-28.9307,-4.30298,-10.2997,-300,200,0,0.0595093,-0.0216675,-0.0717163,3.47901,-15.2893,-7.96508,300,200,0,0.0267029,0.0265503,-0.0552369,0.97655,17.1204,-5.31005,-300,-200,0
4,1,-0.0326539,-0.0152588,-0.0732421,-7.81251,-30.6702,-1.78526,300,-200,0,-0.00320433,0.0309754,0.0491334,-4.51661,-4.30297,-1.1444,-300,200,0,-0.00152588,0.0393677,-0.0106812,-45.3491,-15.2893,-7.96508,300,200,0,-0.00381472,-0.00396732,0.00579825,0.976548,35.4309,-5.31005,-300,-200,0
5,0,-0.0326539,0.0152588,-0.012207,16.6015,-12.3596,7.37001,300,-200,0,-0.00320432,0.000457777,-0.0119018,19.8975,-22.6135,26.3214,-300,200,0,-0.123596,-0.0216674,0.050354,-33.1421,21.3318,10.3455,300,200,0,0.0267029,-0.0344849,0.0668334,0.976551,-1.19017,-5.31005,-300,-200,0
5,1,0.0283813,-0.0152588,-0.134277,16.6016,5.95093,7.37001,300,-200,0,-0.0642395,0.0309753,-0.0729369,-16.7236,-40.9241,-19.455,-300,200,0,-0.0320435,0.00885013,0.111389,-8.72802,-15.2893,-72.052,300,200,0,-0.00381472,-0.00396732,0.00579825,-11.2305,17.1204,-5.31005,-300,-200,0
6,0,-0.0326539,0.0152588,-0.012207,-20.0195,5.95093,7.37001,300,-200,0,-0.00320432,-0.091095,-0.0119018,7.69043,-95.8557,-10.2997,-300,200,0,-0.00152588,-0.0216675,-0.0717163,15.686,-15.2893,1.1902,300,200,0,-0.00381472,0.0265503,0.00579825,-11.2305,-19.5007,3.84523,-300,-200,0
6,1,0.0588989,-0.0152588,-0.012207,-7.81251,-12.3596,-10.9405,300,-200,0,-0.0337219,0.0309754,-0.0119018,-16.7236,-4.30298,-1.1444,-300,200,0,-0.0320435,-0.0216675,-0.0717163,3.47901,3.02125,1.1902,300,200,0,-0.0343323,0.0265503,0.00579825,13.1836,17.1204,-5.31005,-300,-200,0
7,0,-0.00213628,0.0457764,-0.012207,4.39452,-48.9807,-1.78526,300,-200,0,-0.00320434,0.275116,0.171204,-4.51661,-40.9241,8.01087,-300,200,0,-0.00152588,-0.0216675,-0.0106812,-8.72802,21.3318,-7.96508,300,200,0,-0.0648499,-0.0344849,0.0668334,-23.4375,-1.19017,-5.31005,-300,-200,0
7,1,0.0283813,-0.0457764,0.0488282,-7.81251,5.95093,16.5253,300,-200,0,-0.0337219,0.000457775,0.0491334,-65.5518,-40.9241,-1.1444,-300,200,0,0.0595093,-0.0216675,0.050354,3.47901,-33.5998,-17.1203,300,200,0,-0.00381472,0.0265503,-0.0552369,13.1836,-1.19017,3.84523,-300,-200,0
8,0,-0.00213628,0.0152588,-0.012207,4.39452,-12.3596,-20.0958,300,-200,0,0.0273133,-0.0605774,0.0491334,-28.9307,-22.6135,17.1661,-300,200,0,-0.0320435,0.00885013,-0.0106812,15.686,-33.5998,-7.96508,300,200,0,-0.00381472,-0.00396732,0.0668334,13.1836,-1.19017,-5.31005,-300,-200,0
8,1,-0.0326539,0.0152588,0.109863,-32.2266,5.95094,-10.9405,300,-200,0,-0.0947571,0.0309753,0.0491334,-16.7236,14.0076,-1.1444,-300,200,0,-0.0930786,-0.052185,0.111389,27.8931,21.3318,-17.1203,300,200,0,-0.00381472,-0.0344849,0.00579825,0.976551,-1.19017,3.84523,-300,-200,0
9,0,0.0283813,0.0457764,-0.012207,-20.0195,-12.3596,-1.78526,300,-200,0,0.0578308,0.000457781,-0.195007,-16.7236,-4.30298,8.01087,-300,200,0,-0.00152589,-0.11322,0.050354,-8.72802,21.3318,-7.96508,300,200,0,0.0267029,0.0265503,0.0668334,-11.2305,-19.5007,13.0005,-300,-200,0
9,1,-0.0631714,0.0152588,0.0488282,4.39452,24.2615,-1.78526,300,-200,0,0.0273133,-0.0300598,-0.0119018,7.69043,-40.9241,-10.2997,-300,200,0,-0.123596,0.00885013,-0.0106812,-94.1772,3.02126,10.3455,300,200,0,-0.00381472,-0.0344849,-0.0552369,0.976551,-1.19017,3.84523,-300,-200,0
10,0,-0.00213628,-0.0152588,-0.012207,-7.81251,5.95093,-1.78526,300,-200,0,-0.00320432,-0.0300598,0.171204,-16.7236,-22.6135,-10.2997,-300,200,0,-0.00152588,0.00885012,-0.0106812,-8.72802,3.02125,10.3455,300,200,0,-0.0343323,-0.00396732,0.00579825,0.976553,-19.5007,3.84523,-300,-200,0
10,1,-0.0326539,-0.0457764,-0.012207,-20.0195,5.95093,7.37001,300,-200,0,-0.0337219,-0.0300598,-0.0119018,-4.51661,-4.30297,8.01087,-300,200,0,0.0289917,-0.0216675,0.050354,3.47901,21.3318,-7.96508,300,200,0,-0.0343323,0.0265503,-0.0552369,0.97655,17.1204,-5.31005,-300,-200,0
11,0,-0.0326539,0.0152588,0.109863,16.6016,24.2615,-10.9405,300,-200,0,-0.0337219,-0.0300598,0.0491334,-4.51661,-4.30297,-10.2997,-300,200,0,-0.0320435,-0.0216675,-0.0106812,-8.72802,-15.2893,-7.96508,300,200,0,0.0267029,0.0570678,0.0668334,13.1836,-1.19017,-23.6206,-300,-200,0
