Devices
1000
,,ForcePlate4 - Force,,,ForcePlate4 - Moment,,,ForcePlate4 - CoP,,,ForcePlate2 - Force,,,ForcePlate2 - Moment,,,ForcePlate2 - CoP,,,ForcePlate1 - Force,,,ForcePlate1 - Moment,,,ForcePlate1 - CoP,,,ForcePlate3 - Force,,,ForcePlate3 - Moment,,,ForcePlate3 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-0.00213628,0.0152588,-0.012207,-20.0195,-12.3596,-10.9405,300,-200,0,0.0273133,0.0309754,-0.0119018,19.8975,-4.30297,-1.1444,-300,200,0,0.0289917,0.0393677,0.050354,3.47901,3.02125,1.1902,300,200,0,-0.0343323,-0.00396732,0.00579825,0.976551,-1.19017,-5.31005,-300,-200,0
1,1,0.0588989,0.0152588,0.0488282,-7.81251,5.95093,7.37001,300,-200,0,-0.00320433,0.0309754,-0.0729369,-4.51661,14.0076,-10.2997,-300,200,0,0.0289917,0.0393677,0.050354,3.47901,-15.2893,1.1902,300,200,0,0.0267029,0.0265503,0.00579825,13.1836,-1.19017,3.84523,-300,-200,0
2,0,-0.00213628,0.0457764,0.0488282,4.39452,5.95093,-10.9405,300,-200,0,0.0273133,0.000457779,-0.0119018,-16.7236,14.0076,-10.2997,-300,200,0,0.0595093,-0.0216675,0.050354,15.686,-15.2893,1.1902,300,200,0,0.0267029,-0.0344849,0.00579825,13.1836,-37.8113,-5.31005,-300,-200,0
2,1,0.0283813,0.0152588,-0.012207,4.39452,-48.9807,16.5253,300,-200,0,-0.00320432,-0.0300598,-0.0729369,-16.7236,-40.9241,-1.1444,-300,200,0,-0.0320435,0.00885013,0.050354,-20.9351,-15.2893,1.1902,300,200,0,0.0572204,-0.00396732,-0.0552369,0.976551,-1.19017,-14.4653,-300,-200,0
3,0,-0.0326539,0.0457764,0.109863,16.6015,-12.3596,7.37001,300,-200,0,-0.00320432,-0.0300598,-0.133972,7.69042,14.0076,8.01087,-300,200,0,0.0595093,0.0393677,-0.0106812,3.47901,3.02125,-7.96508,300,200,0,-0.00381472,-0.0650025,-0.0552369,0.976551,-1.19017,3.84523,-300,-200,0
3,1,-0.00213628,0.0152588,0.0488282,4.39452,5.95093,7.37001,300,-200,0,-0.00320433,0.0920105,-0.0119018,-16.7236,-77.5452,17.1661,-300,200,0,-0.00152588,0.00885012,-0.0106812,-8.72802,-33.5998,10.3455,300,200,0,-0.0343323,0.0265503,-0.0552369,-11.2305,17.1204,13.0005,-300,-200,0
4,0,-0.00213628,-0.0152588,-0.0732421,-7.81251,-12.3596,-10.9405,300,-200,0,-0.00320433,0.0309754,-0.0729369,-4.51661,50.6287,8.01087,-300,200,0,0.0289917,0.0393677,0.172424,3.47901,21.3318,1.1902,300,200,0,0.0267029,-0.00396732,0.0668334,13.1836,17.1204,22.1558,-300,-200,0
4,1,-0.00213628,0.0152588,0.109863,4.39452,5.95093,7.37001,300,-200,0,-0.00320432,0.000457777,-0.0119018,-16.7236,50.6287,17.1661,-300,200,0,-0.0320435,0.00885013,0.050354,-8.72802,-15.2893,1.1902,300,200,0,-0.0648499,0.0265503,0.0668334,-11.2305,17.1204,-23.6206,-300,-200,0
5,0,0.0588989,-0.0152588,-0.0732421,4.39451,-158.844,-1.78526,300,-200,0,-0.0337219,0.000457775,0.0491334,-4.51661,-40.9241,-1.1444,-300,200,0,-0.00152588,-0.0216675,-0.132751,27.8931,3.02125,-7.96508,300,200,0,-0.0343323,0.240173,-0.0552369,13.1836,-19.5007,13.0005,-300,-200,0
5,1,0.0283813,0.0457764,-0.012207,28.8086,-12.3596,7.37001,300,-200,0,-0.0642395,0.0309753,-0.0119018,-4.51661,14.0076,8.01087,-300,200,0,-0.0320435,0.00885013,-0.0717163,3.47901,3.02125,19.5007,300,200,0,-0.0343323,-0.00396732,-0.0552369,0.976551,-1.19017,3.84523,-300,-200,0
6,0,0.0283813,0.0152588,-0.012207,-7.81251,5.95093,-1.78526,300,-200,0,0.0273133,-0.0300598,0.171204,-4.51661,-4.30297,-1.1444,-300,200,0,-0.00152588,-0.0216675,-0.0717163,3.47901,-15.2893,19.5007,300,200,0,-0.0343323,-0.00396732,-0.0552369,13.1836,-19.5007,3.84523,-300,-200,0
6,1,-0.0326539,0.0457764,-0.012207,28.8086,24.2615,7.37001,300,-200,0,-0.00320432,-0.0300598,0.110169,-16.7236,14.0076,-19.455,-300,200,0,-0.0320435,0.00885013,-0.0717163,-8.72802,-15.2893,-7.96508,300,200,0,-0.0343323,0.0570678,0.310974,-11.2305,-1.19017,-5.31005,-300,-200,0
7,0,0.0588989,-0.0457764,-0.0732421,28.8086,5.95093,-1.78526,300,-200,0,-0.00320433,0.0309754,0.0491334,-16.7236,-4.30298,17.1661,-300,200,0,-0.00152589,-0.174255,0.050354,-8.72802,3.02125,10.3455,300,200,0,-0.0343323,0.0265503,0.00579825,-23.4375,-1.19017,-14.4653,-300,-200,0
7,1,-0.00213628,0.0152588,0.0488282,4.39452,24.2615,-1.78526,300,-200,0,-0.00320433,0.0309754,-0.0729369,-4.51661,14.0076,-1.1444,-300,200,0,-0.00152588,-0.0216675,-0.0106812,3.47901,-15.2893,1.1902,300,200,0,-0.00381472,-0.00396732,0.00579825,13.1836,-1.19017,3.84523,-300,-200,0
8,0,-0.00213628,-0.0152588,-0.012207,4.39452,-12.3596,-1.78526,300,-200,0,-0.00320432,0.000457777,-0.0119018,-16.7236,-4.30298,17.1661,-300,200,0,-0.00152588,-0.0216675,-0.0717163,3.47901,21.3318,1.1902,300,200,0,-0.0343323,-0.0955201,0.00579825,25.3906,17.1204,3.84523,-300,-200,0
8,1,0.0283813,0.0457764,-0.012207,-7.81251,5.95093,7.37001,300,-200,0,-0.0337219,0.000457775,-0.0119018,7.69042,14.0076,8.01087,-300,200,0,-0.00152588,0.00885012,-0.0717163,-33.1421,3.02126,10.3455,300,200,0,0.0572204,0.0265503,-0.116272,25.3906,-1.19017,-5.31005,-300,-200,0
9,0,-0.0326539,0.0457764,-0.0732421,16.6016,42.572,-1.78526,300,-200,0,-0.0337219,-0.0300598,0.0491334,19.8975,-4.30297,-10.2997,-300,200,0,0.0289917,0.0393677,0.050354,-8.72802,-15.2893,1.1902,300,200,0,-0.0953675,-0.00396733,-0.0552369,0.976553,-19.5007,-5.31005,-300,-200,0
9,1,-0.00213628,0.0457764,0.0488282,4.39452,-12.3596,7.37001,300,-200,0,-0.00320432,0.000457777,-0.0119018,-16.7236,-22.6135,-1.1444,-300,200,0,0.0289917,-0.0216675,0.050354,27.8931,39.6423,-17.1203,300,200,0,-0.00381472,-0.0344849,0.0668334,13.1836,17.1204,-78.5522,-300,-200,0
10,0,0.0283813,0.0152588,0.0488282,4.39452,24.2615,16.5253,300,-200,0,-0.00320432,0.000457777,-0.0729369,-4.51661,-22.6135,-1.1444,-300,200,0,-0.00152588,0.0393677,0.050354,-8.72802,-15.2893,1.1902,300,200,0,-0.0648499,-0.0344849,0.00579825,-11.2305,-1.19017,13.0005,-300,-200,0
10,1,0.0283813,-0.0457764,0.0488282,4.39452,-12.3596,-10.9405,300,-200,0,-0.00320433,0.0309754,-0.0729369,7.69042,-4.30297,17.1661,-300,200,0,-0.00152588,-0.0216675,-0.0106812,3.47901,3.02125,1.1902,300,200,0,-0.0343323,-0.0344849,-0.0552369,0.976551,-1.19017,13.0005,-300,-200,0
11,0,-0.0326539,-0.0152588,-0.0732421,41.0156,42.572,-1.78526,300,-200,0,0.0273133,-0.0605774,-0.0729369,-4.51661,-4.30297,-37.7655,-300,200,0,0.0289917,0.0393677,0.050354,-8.72802,3.02125,19.5007,300,200,0,-0.00381472,0.0570678,0.00579825,0.976551,-1.19017,3.84523,-300,-200,0
11,1,-0.00213628,-0.0457764,-0.195312,-7.81251,5.95093,-1.78526,300,-200,0,0.0578308,0.000457781,-0.0119018,7.69042,-4.30297,-1.1444,-300,200,0,0.0595093,0.0393677,0.050354,-8.72802,3.02125,10.3455,300,200,0,-0.0343323,-0.0344849,-0.0552369,-11.2305,-37.8113,-23.6206,-300,-200,0
12,0,0.0283813,-0.0152588,0.0488282,-7.81251,5.95093,-1.78526,300,-200,0,-0.00320432,-0.0300598,-0.0119018,32.1045,-59.2346,-1.1444,-300,200,0,0.0289917,0.0393677,0.050354,-8.72802,21.3318,19.5007,300,200,0,-0.00381472,-0.0344849,0.0668334,49.8047,-19.5007,3.84523,-300,-200,0
12,1,0.0283813,0.076294,0.109863,4.39452,-12.3596,-1.78526,300,-200,0,0.0273133,0.0309754,-0.0729369,7.69042,-4.30297,17.1661,-300,200,0,-0.0320435,0.00885013,-0.0106812,-8.72802,21.3318,-7.96508,300,200,0,0.0572204,-0.0344849,-0.0552369,13.1836,-1.19017,3.84523,-300,-200,0
13,0,0.0588989,0.0152588,0.0488282,-32.2266,42.572,-20.0958,300,-200,0,-0.00320432,0.000457777,-0.133972,-4.51661,-40.9241,17.1661,-300,200,0,-0.00152588,0.00885012,-0.0106812,-8.72802,21.3318,1.1902,300,200,0,0.0267029,-0.0650025,0.0668334,0.97655,17.1204,13.0005,-300,-200,0
