Devices
1000
,,ForcePlate4 - Force,,,ForcePlate4 - Moment,,,ForcePlate4 - CoP,,,ForcePlate2 - Force,,,ForcePlate2 - Moment,,,ForcePlate2 - CoP,,,ForcePlate1 - Force,,,ForcePlate1 - Moment,,,ForcePlate1 - CoP,,,ForcePlate3 - Force,,,ForcePlate3 - Moment,,,ForcePlate3 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-0.0326538,0.0457764,-0.012207,4.39452,5.95093,-1.78526,300,-200,0,-0.0337219,0.0309753,0.0491334,7.69042,-4.30297,17.1661,-300,200,0,-0.00152588,0.00885012,0.050354,3.479,-51.9104,10.3455,300,200,0,-0.0648499,0.0265502,0.00579825,13.1836,17.1204,-5.31005,-300,-200,0
1,1,-0.0326539,-0.0152588,-0.012207,4.39452,24.2615,7.37001,300,-200,0,-0.0642395,0.000457767,-0.0729369,-4.51661,14.0076,-1.1444,-300,200,0,-0.00152588,0.00885012,-0.0106812,15.686,3.02125,1.1902,300,200,0,-0.00381472,-0.00396732,0.0668334,-11.2305,-19.5007,3.84523,-300,-200,0
2,0,0.0283813,-0.0152588,0.0488282,-7.81251,5.95093,-10.9405,300,-200,0,0.0273133,-0.0605774,-0.0119018,-16.7236,50.6287,-10.2997,-300,200,0,0.0595093,0.00885011,0.050354,3.47901,3.02125,-7.96508,300,200,0,0.0267029,-0.00396732,0.0668334,-11.2305,17.1204,-5.31005,-300,-200,0
2,1,-0.0326539,0.0152588,-0.012207,-7.81251,5.95093,-1.78526,300,-200,0,0.0273132,0.0309754,0.0491334,7.69042,-4.30297,-1.1444,-300,200,0,-0.00152587,0.0698853,0.050354,-20.935,21.3318,1.1902,300,200,0,-0.0648499,-0.0650025,-0.0552369,0.976554,-19.5007,3.84523,-300,-200,0
3,0,0.0283813,-0.0457764,-0.134277,-7.81251,24.2615,-1.78526,300,-200,0,-0.00320433,0.0309754,-0.0119018,7.69042,-4.30297,17.1661,-300,200,0,-0.0320435,-0.0216675,0.050354,-20.935,21.3318,10.3455,300,200,0,-0.0343323,-0.00396733,-0.0552369,25.3906,-1.19017,-5.31005,-300,-200,0
3,1,-0.00213628,-0.0152588,0.0488282,4.39452,-30.6702,-1.78526,300,-200,0,0.0273133,0.000457781,-0.0119018,-4.51661,14.0076,-1.1444,-300,200,0,-0.00152587,0.0393677,-0.0106812,3.47901,3.02125,10.3455,300,200,0,-0.0343323,-0.0344849,-0.0552369,-11.2305,108.673,13.0005,-300,-200,0
4,0,-0.0326538,0.0457764,0.0488282,16.6016,24.2615,-1.78526,300,-200,0,-0.00320432,0.000457777,-0.0119018,-28.9307,50.6287,-1.1444,-300,200,0,0.0289917,-0.0216675,0.050354,3.479,-33.5998,10.3455,300,200,0,-0.00381472,-0.00396732,-0.177307,-23.4375,-1.19018,-5.31005,-300,-200,0
4,1,0.0588989,0.0457764,0.0488282,4.39452,-12.3596,7.37001,300,-200,0,-0.0337219,0.000457772,-0.0119018,-4.51661,-4.30297,-74.3866,-300,200,0,0.0595093,0.00885011,0.050354,3.47901,3.02125,1.1902,300,200,0,0.0267029,-0.00396732,-0.0552369,0.976549,17.1204,3.84523,-300,-200,0
5,0,-0.0326539,-0.0457764,-0.012207,-7.81251,-12.3596,-1.78526,300,-200,0,-0.0337219,-0.0300598,0.0491334,-4.51661,-4.30297,-10.2997,-300,200,0,0.0289917,0.00885012,-0.0106812,52.3071,-15.2893,1.1902,300,200,0,-0.00381471,-0.0650025,0.00579825,13.1836,-1.19017,3.84523,-300,-200,0
5,1,0.0283813,0.0152588,-0.012207,4.39453,60.8826,-1.78526,300,-200,0,-0.0337219,-0.0300598,0.0491334,-4.51661,14.0076,8.01087,-300,200,0,-0.00152588,0.00885012,-0.0106812,-8.72802,-15.2893,1.1902,300,200,0,-0.00381472,0.0265503,-0.0552369,-11.2305,-37.8113,3.84523,-300,-200,0
6,0,0.0283813,-0.0152588,0.0488282,4.39452,5.95093,7.37001,300,-200,0,-0.00320432,0.000457777,-0.0729369,-4.51661,-4.30297,17.1661,-300,200,0,-0.00152587,0.0393677,-0.0106812,-8.72802,3.02126,1.1902,300,200,0,-0.0343323,0.0265503,-0.421448,-11.2305,17.1204,3.84523,-300,-200,0
6,1,0.0283813,0.0152588,0.0488282,4.39452,5.95093,-1.78526,300,-200,0,0.0578308,0.000457786,0.232239,-4.51661,14.0076,17.1661,-300,200,0,0.0289917,0.0393677,-0.0106812,-8.72802,3.02126,1.1902,300,200,0,0.0572204,-0.00396731,-0.0552369,-23.4375,-1.19018,13.0005,-300,-200,0
7,0,-0.00213627,0.076294,0.109863,-7.81251,24.2615,-10.9405,300,-200,0,0.0273133,0.000457781,-0.0119018,7.69042,14.0076,-1.1444,-300,200,0,-0.0320435,0.00885013,-0.0106812,15.686,3.02125,1.1902,300,200,0,-0.0648499,-0.0650025,-0.0552369,25.3906,-1.19017,-5.31005,-300,-200,0
7,1,0.0283813,0.0152588,-0.0732421,4.39452,24.2615,-29.2511,300,-200,0,0.0273133,0.000457781,0.110169,-28.9307,14.0076,-19.455,-300,200,0,-0.0320434,0.0393677,-0.132751,-8.72802,21.3318,28.656,300,200,0,-0.00381472,0.0265503,0.00579825,0.976554,-19.5007,-14.4653,-300,-200,0
8,0,-0.0326539,-0.0152588,0.0488282,4.39452,-12.3596,16.5253,300,-200,0,-0.00320432,0.000457777,0.0491334,-4.51661,14.0076,17.1661,-300,200,0,0.0289917,-0.0216675,-0.0106812,15.686,-15.2893,1.1902,300,200,0,0.0267029,-0.0344849,-0.116272,-11.2305,-1.19017,-5.31005,-300,-200,0
8,1,0.0283813,0.0152588,0.109863,-7.81252,-30.6702,-10.9405,300,-200,0,0.0273132,0.0309754,0.110169,32.1045,32.3181,8.01087,-300,200,0,-0.062561,0.0393677,-0.0717163,15.686,-15.2893,1.1902,300,200,0,-0.0343323,-0.0344849,0.00579825,0.976551,-1.19017,-5.31005,-300,-200,0
