Devices
1000
,,ForcePlate4 - Force,,,ForcePlate4 - Moment,,,ForcePlate4 - CoP,,,ForcePlate2 - Force,,,ForcePlate2 - Moment,,,ForcePlate2 - CoP,,,ForcePlate1 - Force,,,ForcePlate1 - Moment,,,ForcePlate1 - CoP,,,ForcePlate3 - Force,,,ForcePlate3 - Moment,,,ForcePlate3 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
1,0,-0.00213629,-0.0762939,0.0488282,-7.81251,5.95093,-65.8722,300,-200,0,-0.0642395,0.000457767,0.0491334,-4.51661,14.0076,-1.1444,-300,200,0,-0.062561,0.00885013,0.050354,-8.72802,3.02126,1.1902,300,200,0,-0.00381472,0.0265503,0.00579825,-11.2305,-1.19017,13.0005,-300,-200,0
1,1,0.0283813,0.0457764,-0.012207,4.39452,24.2615,-1.78526,300,-200,0,0.0273132,0.0309754,0.0491334,-4.51661,14.0076,8.01087,-300,200,0,-0.0320435,0.00885013,0.050354,3.47901,3.02125,1.1902,300,200,0,-0.00381472,-0.00396732,0.00579825,13.1836,-1.19017,3.84523,-300,-200,0
2,0,-0.00213627,0.0457764,-0.012207,-7.81251,5.95093,-10.9405,300,-200,0,-0.0337219,0.0309753,-0.0119018,-28.9307,-22.6135,8.01087,-300,200,0,-0.062561,0.00885013,-0.0106812,15.686,21.3318,1.1902,300,200,0,-0.00381472,0.0265503,-0.0552369,13.1836,17.1204,-14.4653,-300,-200,0
2,1,0.119934,0.0152588,-0.0732421,4.39452,5.95093,16.5253,300,-200,0,-0.0337219,0.0309753,0.0491334,-4.51661,32.3181,-10.2997,-300,200,0,0.0595093,0.00885011,-0.132751,3.479,-33.5998,1.1902,300,200,0,-0.0648499,-0.0344849,-0.0552369,-11.2305,-1.19017,-5.31005,-300,-200,0
3,0,-0.00213628,0.0152588,-0.012207,-7.81251,-12.3596,-1.78526,300,-200,0,-0.00320433,0.0309754,-0.0119018,19.8975,14.0076,-10.2997,-300,200,0,-0.00152587,0.0393677,0.050354,3.479,-33.5998,1.1902,300,200,0,-0.0648499,-0.00396733,0.0668334,0.976551,-1.19017,-5.31005,-300,-200,0
3,1,-0.0326539,-0.0152588,-0.0732421,-117.676,42.572,-1.78526,300,-200,0,-0.0337219,0.000457772,0.110169,-16.7236,-22.6135,-1.1444,-300,200,0,-0.00152589,-0.052185,-0.0717163,-8.72802,-15.2893,10.3455,300,200,0,-0.00381472,0.0265503,0.00579825,-11.2305,17.1204,-5.31005,-300,-200,0
4,0,-0.0326539,-0.0152588,0.0488282,-20.0195,24.2615,16.5253,300,-200,0,-0.00320432,0.000457777,-0.0119018,-4.51661,32.3181,-1.1444,-300,200,0,-0.0320435,-0.052185,-0.0106812,-8.72802,3.02126,1.1902,300,200,0,-0.00381472,-0.00396732,0.00579825,-11.2305,-1.19017,-5.31005,-300,-200,0
4,1,0.0588989,-0.0457764,-0.012207,4.39452,5.95093,-10.9405,300,-200,0,0.0273133,0.000457781,-0.0119018,-4.51661,32.3181,26.3214,-300,200,0,-0.0320435,0.00885013,-0.0106812,-8.72802,21.3318,1.1902,300,200,0,-0.00381472,-0.00396732,0.0668334,-35.6445,-1.19018,-5.31005,-300,-200,0
5,0,0.0283813,0.0457764,-0.0732421,-7.81251,-12.3596,-10.9405,300,-200,0,0.0273133,-0.0300598,-0.133972,7.69042,-4.30297,17.1661,-300,200,0,0.0595093,0.0393677,-0.0717163,-8.72802,-15.2893,1.1902,300,200,0,-0.0343323,-0.00396733,0.00579825,-23.4375,-1.19018,3.84523,-300,-200,0
